target,rep,mode,step_ms,wait_ms,moved_MiB,late,forward_ms,backward_ms
20,4,ranked,13.3926246,0.01531305,0.25,0,7.09589905,5.58817435
20,4,sync,13.6249555,0.36011155,0.25,0,6.8554856,6.06257905
22,0,direct,13.228949349999999,0.0,0.0,0,6.81733265,5.69684445
22,0,ranked,13.935059050000001,0.015988,1.0,0,7.383742099999999,5.8156055
22,0,sync,13.737932599999999,0.7782069,1.0,0,6.66629235,6.3740993
22,1,direct,12.92583705,0.0,0.0,0,6.616363150000001,5.6011203
22,1,ranked,13.7944657,0.01606365,1.0,0,7.2276312,5.82277445
22,1,sync,14.283117599999999,0.80836195,1.0,0,6.85249615,6.67225905
22,2,direct,12.86271535,0.0,0.0,0,6.6865715,5.470922900000001
22,2,ranked,13.6549535,0.0155752,1.0,0,7.1195878,5.819463
22,2,sync,14.19341985,0.8804644,1.0,0,6.8195096,6.65223055
22,3,direct,13.141587,0.0,0.0,0,6.85807575,5.6047735
22,3,ranked,13.66352165,0.0153814,1.0,0,7.27009585,5.70815245
22,3,sync,13.7668661,0.8078225,1.0,0,6.6378768,6.43037555
22,4,direct,12.7596789,0.0,0.0,0,6.4612907,5.61140565
22,4,ranked,13.8152707,0.016862349999999998,1.0,0,7.14571755,5.94519545
22,4,sync,13.816677449999998,0.7943578,1.0,0,6.71160335,6.40997125
6,0,direct,13.062069800000002,0.0,0.0,0,6.6933322,5.650345049999999
6,0,ranked,13.9044002,0.0151328,0.25,0,7.3135505499999995,5.85046655
6,0,sync,13.50782825,0.3018734,0.25,0,7.04378925,5.7875595
6,1,direct,13.031420599999999,0.0,0.0,0,6.6990345499999995,5.595309599999999
6,1,ranked,13.6917948,0.015617200000000001,0.25,0,7.1361035,5.8303402
6,1,sync,13.6249536,0.316083,0.25,0,6.75751395,6.17513465
6,2,direct,13.26798125,0.0,0.0,0,6.8572579000000005,5.7155343
6,2,ranked,13.54723095,0.0157311,0.25,0,7.04383495,5.75892735
6,2,sync,13.46749055,0.3040334,0.25,0,6.7958919,5.9919306500000005
6,3,direct,13.22418315,0.0,0.0,0,6.79039405,5.7005159
6,3,ranked,13.553780849999999,0.015463,0.25,0,7.1192677,5.70932
6,3,sync,13.6777816,0.30335815000000005,0.25,0,6.954737349999999,6.01700995
6,4,direct,13.5875594,0.0,0.0,0,6.9681726,5.865460049999999
6,4,ranked,13.7558568,0.01594085,0.25,0,7.14873265,5.89704255
6,4,sync,13.76667505,0.33745375,0.25,0,7.02410085,6.03757305
